,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
83,Grace (feat. 42 Dugg),My Turn,Lil Baby,2020-02-28,203438,73,0.817,0.38,0.817,0.513,0.0,0.109,-6.263,0.394,123.029,4
84,BELIEVE IT,PARTYMOBILE,PARTYNEXTDOOR,2020-03-27,183219,84,0.43,0.0902,0.43,0.7,0.0,0.216,-5.35,0.264,158.373,4
85,Bang!,Bang!,AJR,2020-02-12,170858,72,0.74,0.0183,0.74,0.516,0.0,0.0558,-6.233,0.0507,139.918,4
86,21,THE GOAT,Polo G,2020-05-15,163797,84,0.783,0.149,0.783,0.479,0.0,0.101,-10.646,0.541,176.027,4
87,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE: Vol. 1,HIXTAPE,2019-09-13,173173,76,0.516,0.563,0.516,0.745,0.0,0.275,-8.352,0.0774,186.004,3
88,In Your Eyes,After Hours (Deluxe),The Weeknd,2020-04-03,237522,33,0.667,0.00255,0.667,0.72,7.49e-05,0.0753,-5.348,0.0331,100.021,4
89,Girl Of My Dreams,Pray 4 Love,Rod Wave,2020-04-03,159817,75,0.586,0.502,0.586,0.547,0.0,0.0963,-7.383,0.095,75.911,4
90,Do It,Do It,Chloe x Halle,2020-05-14,176786,78,0.701,0.0916,0.701,0.668,2.09e-06,0.111,-7.287,0.0516,82.978,4
91,Stick That In Your Country Song,Stick That In Your Country Song,Eric Church,2020-06-25,228706,65,0.536,0.0658,0.536,0.863,0.172,0.118,-5.081,0.0362,89.979,4
92,Lovin' On You,What You See Is What You Get,Luke Combs,2019-11-08,194866,74,0.572,0.00165,0.572,0.949,0.000195,0.163,-4.865,0.06,118.974,4
93,Pretty Heart,Pretty Heart,Parker McCollum,2019-08-30,244797,69,0.562,0.00531,0.562,0.683,0.0,0.107,-4.427,0.0296,132.003,4
94,Righteous,Righteous,Juice WRLD,2020-04-24,243356,87,0.707,0.0397,0.707,0.622,0.0,0.149,-6.951,0.031,142.942,4
95,Rags2Riches (feat. ATR Son Son),Pray 4 Love,Rod Wave,2020-04-03,167183,80,0.904,0.294,0.904,0.252,0.0,0.104,-17.54,0.11,117.994,4
96,My Truck,BRELAND EP,BRELAND,2020-05-22,158329,70,0.883,0.23,0.883,0.299,7.62e-06,0.162,-8.382,0.105,136.982,4
97,X (with KAROL G),XV,Jonas Brothers,2020-05-15,185277,82,0.715,0.0485,0.715,0.827,3.61e-05,0.321,-5.09,0.0617,117.977,4
98,I Called Mama,I Called Mama,Tim McGraw,2020-05-08,211576,69,0.501,0.589,0.501,0.63,4.33e-06,0.151,-7.018,0.0329,86.186,4
99,Shotta Flow 5,Shotta Flow 5,NLE Choppa,2020-06-12,145167,62,0.814,0.0637,0.814,0.757,0.0,0.0673,-5.319,0.348,140.011,4
